Departamento,Producto,Año,Area (ha),Produccion (ton),Rendimiento (ha/ton)
CUNDINAMARCA,ACELGA,2008,122.6,2181.2,17.79
CUNDINAMARCA,ACELGA,2015,52.6,1071.4,20.37
CUNDINAMARCA,AGRAZ,2018,0.5,2.0,4.0
CUNDINAMARCA,AGRAZ,2019,32.0,526.0,16.44
CUNDINAMARCA,AGUACATE,2007,130.9,1091.0,8.33
CUNDINAMARCA,AGUACATE,2009,113.67,479.7,4.22
CUNDINAMARCA,AGUACATE,2017,1099.56,7446.23,6.77
CUNDINAMARCA,AGUACATE PAPELILLO,2022,563.9,5408.9,9.59
CUNDINAMARCA,AHUYAMA,2019,739.05,6610.75,8.94
CUNDINAMARCA,AJO,2008,85.0,875.0,10.29
CUNDINAMARCA,ALBAHACA,2008,16.0,48.0,3.0
CUNDINAMARCA,ALBAHACA,2010,16.0,45.0,2.81
CUNDINAMARCA,ALBAHACA,2011,17.0,42.5,2.5
CUNDINAMARCA,ALBAHACA,2016,45.0,195.15,4.34
CUNDINAMARCA,ALBAHACA,2020,113.0,489.8,4.33
CUNDINAMARCA,ALBAHACA,2023,65.5,364.5,5.5600000000000005
CUNDINAMARCA,ALCACHOFA,2023,30.0,300.0,10.0
CUNDINAMARCA,ALGODON,2008,712.53,1792.2,2.52
CUNDINAMARCA,ALGODON,2014,379.0,943.5,2.49
CUNDINAMARCA,ALGODON,2015,465.0,1229.69,2.64
CUNDINAMARCA,ANTURIO,2009,32.0,265.0,8.28
CUNDINAMARCA,APIO,2022,224.8,4466.0,19.87
CUNDINAMARCA,ARANDANO,2022,77.88,858.21,11.02
CUNDINAMARCA,ARAZA,2008,10.0,20.0,2.0
CUNDINAMARCA,ARROZ RIEGO,2013,1381.0,7449.2,5.39
CUNDINAMARCA,ARROZ RIEGO,2018,2126.55,11789.87,5.54
CUNDINAMARCA,ARROZ RIEGO,2019,780.0,5108.2,6.55
CUNDINAMARCA,ARROZ SECANO MANUAL,2012,0.0,0.0,0.0
CUNDINAMARCA,ARROZ SECANO MANUAL,2013,230.0,383.0,1.67
CUNDINAMARCA,ARVEJA,2008,7895.8,12797.3,1.62
CUNDINAMARCA,ARVEJA,2015,4868.4,8000.17,1.6400000000000001
CUNDINAMARCA,AVENA,2018,508.0,921.06,1.81
CUNDINAMARCA,AVENA,2022,543.0,1411.3,2.6
CUNDINAMARCA,BANANO,2008,3441.0,28092.0,8.16
CUNDINAMARCA,BANANO,2015,4254.0,35180.3,8.27
CUNDINAMARCA,BREVO,2020,2.0,12.0,6.0
CUNDINAMARCA,BREVO,2023,2.0,13.0,6.5
CUNDINAMARCA,BROCOLI,2010,158.1,2740.8,17.34
CUNDINAMARCA,BROCOLI,2011,227.4,3400.8,14.96
CUNDINAMARCA,BROCOLI,2016,311.36,6241.2,20.04
CUNDINAMARCA,BROCOLI,2020,312.84,6059.8,19.37
CUNDINAMARCA,BROCOLI,2023,315.54,6051.72,19.18
CUNDINAMARCA,CACAO,2012,3456.7,2587.91,0.75
CUNDINAMARCA,CACAO,2013,4026.0,2282.63,0.57
CUNDINAMARCA,CACAO,2022,6961.9,4131.69,0.59
CUNDINAMARCA,CADUCIFOLIOS,2010,116.3,1351.3,11.62
CUNDINAMARCA,CAFE,2021,51184.9,51199.52,1.0
CUNDINAMARCA,CALABACIN,2008,15.0,150.0,10.0
CUNDINAMARCA,CALABACIN,2015,39.0,347.0,8.9
CUNDINAMARCA,CAÑA MIEL,2008,50.0,150.0,3.0
CUNDINAMARCA,CAÑA MIEL,2011,99.0,247.5,2.5
CUNDINAMARCA,CAUCHO,2014,82.0,100.8,1.23
CUNDINAMARCA,CAUCHO,2015,130.0,153.8,1.18
CUNDINAMARCA,CEBADA,2008,420.0,674.0,1.6
CUNDINAMARCA,CEBADA,2017,93.0,326.0,3.51
CUNDINAMARCA,CEBOLLA DE RAMA,2012,20.0,210.0,10.5
CUNDINAMARCA,CEBOLLA DE RAMA,2013,72.3,856.5,11.85
CUNDINAMARCA,CEBOLLA DE RAMA,2018,103.0,977.6,9.49
CUNDINAMARCA,CEBOLLIN,2009,0.0,0.0,0.0
CUNDINAMARCA,CHACHAFRUTO,2018,3.7,14.8,4.0
CUNDINAMARCA,CILANTRO,2021,1396.6,18762.0,13.43
CUNDINAMARCA,CIRUELA,2013,0.1,0.1,1.0
CUNDINAMARCA,CIRUELA,2018,10.7,67.26,6.29
CUNDINAMARCA,CIRUELA,2019,6.9,46.4,6.72
CUNDINAMARCA,CLAVEL,2009,20.0,60.0,3.0
CUNDINAMARCA,CLAVEL,2017,120.7,2939.9,24.36
CUNDINAMARCA,COCO,2020,0.2,0.2,1.0
CUNDINAMARCA,COCO,2023,0.2,0.2,1.0
CUNDINAMARCA,ESPINACA,2008,243.5,4078.6,16.75
CUNDINAMARCA,FEIJOA,2010,2.38,19.04,8.0
CUNDINAMARCA,FEIJOA,2011,1.38,3.2800000000000002,2.38
CUNDINAMARCA,FEIJOA,2016,41.5,213.92,5.15
CUNDINAMARCA,FEIJOA,2020,54.9,535.8,9.76
CUNDINAMARCA,FEIJOA,2023,69.2,743.2,10.74
CUNDINAMARCA,FIQUE,2020,1.0,2.0,2.0
CUNDINAMARCA,FIQUE,2023,0.5,0.25,0.5
CUNDINAMARCA,FITOSPORUM,2016,2.0,2.0,1.0
CUNDINAMARCA,FLOR DE JAMAICA,2012,28.0,19.6,0.7
CUNDINAMARCA,FLOR DE JAMAICA,2013,10.0,7.0,0.7
CUNDINAMARCA,FLOR DE SAFARI,2018,2.0,2.0,1.0
CUNDINAMARCA,FLORES Y FOLLAJES,2014,202.2,1760.9,8.71
CUNDINAMARCA,FLORES Y FOLLAJES,2015,271.6,2104.77,7.75
CUNDINAMARCA,FRESA,2008,622.27,22422.77,36.03
CUNDINAMARCA,FRESA,2015,793.8,38572.8,48.59
CUNDINAMARCA,FRIJOL,2010,8403.46,11830.48,1.41
CUNDINAMARCA,FRIJOL,2011,8395.56,11094.87,1.32
CUNDINAMARCA,FRIJOL,2016,8101.19,13155.77,1.62
CUNDINAMARCA,FRIJOL,2020,9587.7,27001.84,2.82
CUNDINAMARCA,FRIJOL,2023,5884.88,12591.42,2.14
CUNDINAMARCA,FRUTALES VARIOS,2010,3.0,6.0,2.0
CUNDINAMARCA,FRUTALES VARIOS,2011,3.0,6.0,2.0
CUNDINAMARCA,FRUTALES VARIOS,2020,1.6,15.95,10.0
CUNDINAMARCA,FRUTALES VARIOS,2023,63.29,423.29,6.6899999999999995
CUNDINAMARCA,GARBANZO,2011,0.0,0.0,0.0
CUNDINAMARCA,GARBANZO,2020,2.0,6.0,3.0
CUNDINAMARCA,GARBANZO,2023,2.0,3.5,1.75
CUNDINAMARCA,GLADIOLO,2009,86.8,655.0,7.55
CUNDINAMARCA,GRANADILLA,2012,290.3,2768.4,9.54
CUNDINAMARCA,GRANADILLA,2013,186.0,1975.0,10.62
CUNDINAMARCA,GRANADILLA,2018,512.5,5816.5,11.35
CUNDINAMARCA,GRANADILLA,2019,596.5,8615.1,14.44
CUNDINAMARCA,GUANABANA,2022,133.32,1277.08,9.58
CUNDINAMARCA,GULUPA,2012,310.0,3199.2,10.32
CUNDINAMARCA,GULUPA,2022,275.4,3783.1,13.74
CUNDINAMARCA,HABA,2022,108.7,265.85,2.45
CUNDINAMARCA,HABICHUELA,2008,3179.5,32352.75,10.18
CUNDINAMARCA,HABICHUELA,2014,3231.5,28720.72,8.89
CUNDINAMARCA,HABICHUELA,2015,3109.1,28190.04,9.07
CUNDINAMARCA,HELECHO CUERO,2011,105.0,1050.0,10.0
CUNDINAMARCA,HORTALIZAS VARIAS,2007,126.0,1662.0,13.19
CUNDINAMARCA,HORTALIZAS VARIAS,2012,1565.3,26728.0,17.08
CUNDINAMARCA,HORTALIZAS VARIAS,2013,1594.8,27991.4,17.55
CUNDINAMARCA,HORTALIZAS VARIAS,2023,1465.2,24403.32,16.66
CUNDINAMARCA,LECHUGA,2022,1717.19,27071.09,15.76
CUNDINAMARCA,LIMA,2016,20.0,140.0,7.0
CUNDINAMARCA,LIMA,2020,102.2,487.19,4.77
CUNDINAMARCA,LIMON,2009,21.0,301.0,14.33
CUNDINAMARCA,LIMONARIA,2009,7.0,9.8,1.4
CUNDINAMARCA,LIMONARIA,2017,53.0,201.0,3.79
CUNDINAMARCA,LULO,2021,400.8,3167.28,7.9
CUNDINAMARCA,MAIZ FORRAJERO,2016,614.0,20264.0,33.0
CUNDINAMARCA,MAIZ FORRAJERO,2017,1058.5,32837.0,31.02
CUNDINAMARCA,MAIZ TRADICIONAL,2012,23175.26,34367.64,1.48
CUNDINAMARCA,MAIZ TRADICIONAL,2013,20257.35,30515.17,1.51
CUNDINAMARCA,MAIZ TRADICIONAL,2022,11841.23,17778.76,1.5
CUNDINAMARCA,MANDARINA,2008,920.0,10791.0,11.73
CUNDINAMARCA,MANDARINA,2010,914.5,9850.4,10.77
CUNDINAMARCA,MANDARINA,2011,782.5,6550.6,8.37
CUNDINAMARCA,MANDARINA,2016,1917.64,12521.59,6.53
CUNDINAMARCA,MANDARINA,2020,1956.5,17049.84,8.71
CUNDINAMARCA,MANDARINA,2023,2439.68,32972.65,13.52
CUNDINAMARCA,MANDARINA ONECO,2019,30.0,180.0,6.0
CUNDINAMARCA,MANGO,2008,6476.0,66320.05,10.24
CUNDINAMARCA,MANGO,2011,7751.5,68115.6,8.79
CUNDINAMARCA,MANGO,2016,9801.8,75967.9,7.75
CUNDINAMARCA,MANGO,2017,8622.4,68527.45,7.95
CUNDINAMARCA,MANGO KENT,2020,221.0,2144.0,9.7
CUNDINAMARCA,MANGO KENT,2023,575.0,5612.0,9.76
CUNDINAMARCA,MANZANA,2014,5.1,17.85,3.5
CUNDINAMARCA,MANZANA,2015,0.6,1.8,3.0
CUNDINAMARCA,MELON,2023,72.0,720.0,10.0
CUNDINAMARCA,MENTA,2015,1.0,9.0,9.0
CUNDINAMARCA,MENTA,2021,8.0,48.0,6.0
CUNDINAMARCA,MORA,2008,3227.43,34074.16,10.56
CUNDINAMARCA,MORINGA,2020,4.0,40.0,10.0
CUNDINAMARCA,MORINGA,2023,12.0,120.0,10.0
CUNDINAMARCA,ÑAME,2022,6.5,91.0,14.0
CUNDINAMARCA,NARANJA,2012,2160.0,11653.5,5.4
CUNDINAMARCA,NARANJA,2013,2586.5,14021.46,5.42
CUNDINAMARCA,NARANJA,2018,5025.39,36022.93,7.17
CUNDINAMARCA,NARANJA,2022,4016.81,46271.32,11.52
CUNDINAMARCA,NARANJA VALENCIA,2023,278.56,2865.61,10.29
CUNDINAMARCA,OREGANO,2010,0.5,0.05,0.1
CUNDINAMARCA,OREGANO,2011,0.5,11.7,23.4
CUNDINAMARCA,OTROS CADUCIFOLIOS,2020,1.0,11.0,11.0
CUNDINAMARCA,OTROS CÍTRICOS,2019,1221.5,8340.5,6.83
CUNDINAMARCA,"OTROS CULTIVOS PARA CONDIMENTOS, BEBIDAS MEDICINALES Y AROMÁTICAS",2021,252.0,2520.0,10.0
CUNDINAMARCA,PALMA DE ACEITE,2020,5535.0,23910.44,4.32
CUNDINAMARCA,PALMA ROBELINA,2008,20.0,400.0,20.0
CUNDINAMARCA,PAPA,2008,55075.0,1032304.5,18.74
